Genus	Specie	Subgenus	Author	Year
Aedes	aureostriatus	Bruceharrisonius	Doleschall	1857
Aedes	christophersi	Bruceharrisonius	Edwards	1922
Aedes	doonii	Bruceharrisonius	Wattal , Bhatia & Kalra	1958
Aedes	greenii	Bruceharrisonius	Theobald	1903
Aedes	hurlbuti	Bruceharrisonius	Lien	1967
Aedes	kobayashii	Bruceharrisonius	Nakata	1956
Aedes	okinawanus	Bruceharrisonius	Bohart	1946
Aedes	taiwanus	Bruceharrisonius	Lien	1968
Aedes	cancricomes	Cancraedes	Edwards	1922
Aedes	curtipes	Cancraedes	Edwards	1915
Aedes	indonesiae	Cancraedes	Mattingly	1958
Aedes	kohkutensis	Cancraedes	Mattingly	1958
Aedes	mamoedjoensis	Cancraedes	Mattingly	1958
Aedes	masculinus	Cancraedes	Mattingly	1958
Aedes	palawanicus	Cancraedes	Mattingly	1958
Aedes	penghuensis	Cancraedes	Lien	1968
Aedes	simplex	Cancraedes	Theobald	1903
Aedes	thurmanae	Cancraedes	Mattingly	1958
Aedes	adami	Catageiomyia	Geoffroy	1971
Aedes	argenteopunctatus	Catageiomyia	Theobald	1901
Aedes	bedfordi	Catageiomyia	Edwards	1936
Aedes	chamboni	Catageiomyia	Cornet	1968
Aedes	dialloi	Catageiomyia	Hamon & Brengues	1965
Aedes	falabreguesi	Catageiomyia	Hamon	1957
Aedes	filicis	Catageiomyia	Ingram & de Meillon	1927
Aedes	grenieri	Catageiomyia	Hamon , Service , Adam & Taufflieb	1961
Aedes	hopkinsi	Catageiomyia	Edwards	1936
Aedes	insolens	Catageiomyia	Edwards	1936
Aedes	irritans	Catageiomyia	Theobald	1901
Aedes	lokojensis	Catageiomyia	Service	1959
Aedes	lottei	Catageiomyia	Hamon & Brengues	1965
Aedes	microstictus	Catageiomyia	Edwards	1936
Aedes	minutus	Catageiomyia	Theobald	1901
Aedes	mixtus	Catageiomyia	Edwards	1936
Aedes	mutila	Catageiomyia	Edwards	1936
Aedes	nyounae	Catageiomyia	Hamon & Adam	1959
Aedes	phyllolabis	Catageiomyia	Edwards	1929
Aedes	pseudotarsalis	Catageiomyia	van Someren	1946
Aedes	punctothoracis	Catageiomyia	Theobald	1909
Aedes	reali	Catageiomyia	Hamon & Adam	1959
Aedes	smithburni	Catageiomyia	van Someren	1950
Aedes	tarsalis	Catageiomyia	Newstead	1907
Aedes	veeniae	Catageiomyia	McIntosh	1975
Aedes	wendyae	Catageiomyia	Service	1959
Aedes	yangambiensis	Catageiomyia	de Meillon & Lavoipierre	1944
Aedes	yvonneae	Catageiomyia	Edwards	1941
Aedes	meronephada	Catatassomyia	Dyar & Shannon	1925
Aedes	annulirostris	Christophersiomyia	Theobald	1905
Aedes	chionodes	Christophersiomyia	Belkin	1962
Aedes	gombakensis	Christophersiomyia	Mattingly	1959
Aedes	ibis	Christophersiomyia	Barraud	1931
Aedes	thomsoni	Christophersiomyia	Theobald	1905
Aedes	fryeri	Coetzeemyia	Theobald	1912
Aedes	banksi	Collessius	Edwards	1922
Aedes	elsiae	Collessius	Barraud	1923
Aedes	hatorii	Collessius	Yamada	1921
Aedes	macdougalli	Collessius	Edwards	1922
Aedes	macfarlanei	Collessius	Edwards	1914
Aedes	ningheensis	Collessius	Lei	1989
Aedes	pseudotaeniatus	Collessius	Giles	1901
Aedes	shortti	Collessius	Barraud	1923
Aedes	tonkinensis	Collessius	Galliard & Ngu	1947
Aedes	cozi	Cornetius	Cornet	1973
Aedes	echinus	Dahliana	Edwards	1920
Aedes	geniculatus	Dahliana	Olivier	1791
Aedes	albotaeniatus	Danielsia	Leicester	1904
Aedes	harperi	Danielsia	Knight	1948
Aedes	lepchanus	Danielsia	Barraud	1923
Aedes	kanarensis	Dendroskusea	Edwards	1934
Aedes	micropterus	Dendroskusea	Giles	1901
Aedes	periskelatus	Dendroskusea	Giles	1902
Aedes	ramachandrai	Dendroskusea	Reuben	1967
Aedes	reginae	Dendroskusea	Edwards	1922
Aedes	adersi	Diceromyia	Edwards	1917
Aedes	bananea	Diceromyia	Wolfs	1958
Aedes	cordellieri	Diceromyia	Huang	1986
