Genus	Specie	Subgenus	Author	Year
Anopheles	aconitus	Cellia	Dönitz	1902
Anopheles	ahomi	Anopheles	Chowdhury	1929
Anopheles	ainshamsi	Cellia	Gad, Harbach & Harrison	2006
Anopheles	aitkenii	Anopheles	James	1903
Anopheles	albertoi	Nyssorhynchus	Unti	1941
Anopheles	albimanus	Nyssorhynchus	Wiedemann	1820
Anopheles	albitarsis	Nyssorhynchus	Lynch, Arribálzaga	1878
Anopheles	albotaeniatus	Anopheles	Theobald	1903
Anopheles	algeriensis	Anopheles	Theobald	1903
Anopheles	alongensis	Anopheles	Venhuis	1940
Anopheles	amharicus	Cellia	Hunt, Wilkerson & Coetzee	2013
Anopheles	amictus	Cellia	Edwards	1921
Anopheles	anchietai	Anopheles	Corrêa & Ramalho	1968
Anopheles	annandalei	Anopheles	Prashad	1918
Anopheles	annularis	Cellia	dan der Wulp	1884
Anopheles	annulatus	Cellia	Haga	1930
Anopheles	annulipalpis	Anopheles	Lynch, Arribálzaga	1878
Anopheles	annulipes	Cellia	Walker	1856
Anopheles	anomalophyllus	Nyssorhynchus	Komp	1936
Anopheles	antunesi	Nyssorhynchus	Galvão & Franco, do, Amaral	1940
Anopheles	apicimacula	Anopheles	Dyar & Knab	1906
Anopheles	apoci	Cellia	Marsh	1933
Anopheles	aquasalis	Nyssorhynchus	Curry	1932
Anopheles	arabiensis	Cellia	Patton	1905
Anopheles	arboricolus	Anopheles	Zavortink	1970
Anopheles	ardensis	Cellia	Theobald	1905
Anopheles	argenteolobatus	Cellia	Gough	1910
Anopheles	argyritarsis	Nyssorhynchus	Robineau-Desvoidy	1827
Anopheles	argyropus	Anopheles	Swellengrebel	1914
Anopheles	artemievi	Anopheles	Gordeyev, Zvantsov, Goryacheva, Shaikevich & Yezhov	2005
Anopheles	arthuri	Nyssorhynchus	Unti	1941
Anopheles	aruni	Cellia	Sobti	1968
Anopheles	asiaticus	Anopheles	Leicester	1903
Anopheles	atacamensis	Nyssorhynchus	González & Sallum	2010
Anopheles	atratipes	Anopheles	Skuse	1889
Anopheles	atroparvus	Anopheles	van Thiel	1927
Anopheles	atropos	Anopheles	Dyar & Knab	1906
Anopheles	aurirostris	Cellia	Watson	1910
Anopheles	austenii	Cellia	Theobald	1905
Anopheles	auyantepuiensis	Kerteszia	Harbach & Navarro	1996
Anopheles	azaniae	Cellia	Bailly-Choumara	1960
Anopheles	azevedoi	Cellia	Ribeiro	1969
Anopheles	aztecus	Anopheles	Hoffmann	1935
Anopheles	baezai	Anopheles	Gater	1933
Anopheles	baileyi	Anopheles	Edwards	1929
Anopheles	baimaii	Cellia	Sallum & Peyton	2005
Anopheles	baisasi	Cellia	Colless	1957
Anopheles	balabacensis	Cellia	Baisas	1936
Anopheles	balerensis	Anopheles	Mendoza	1947
Anopheles	bambusicolus	Kerteszia	Komp	1937
Anopheles	bancroftii	Anopheles	Giles	1902
Anopheles	barberellus	Cellia	Evans	1932
Anopheles	barberi	Anopheles	Coquillett	1903
Anopheles	barbirostris	Anopheles	dan der Wulp	1884
Anopheles	barbumbrosus	Anopheles	Strickland & Chowdhury	1927
Anopheles	barianensis	Anopheles	James & Liston	1911
Anopheles	beklemishevi	Anopheles	Stegnii & Kabanova	1976
Anopheles	belenrae	Anopheles	Rueda	2005
Anopheles	bellator	Kerteszia	Dyar & Knab	1906
Anopheles	benarrochi	Nyssorhynchus	Gabaldon, Cova-Garcia & Lopez	1941
Anopheles	bengalensis	Anopheles	Puri	1930
Anopheles	benguetensis	Anopheles	King	1931
Anopheles	berghei	Cellia	Vincke & Leleup	1949
Anopheles	bervoetsi	Cellia	D’Haenens	1961
Anopheles	boliviensis	Kerteszia	Theobald	1905
