Genus	Specie	Subgenus	Author	Year
Aedes	bergerardi	Neomelaniconion	Pajot & Geoffroy	1971
Aedes	berlandi	Ochlerotatus	Séguy	1921
Aedes	berlini	Protomacleaya	Schick	1970
Aedes	bertrami	Protomacleaya	Schick	1970
Aedes	bevisi	Aedimorphus	Edwards	1915
Aedes	bhutanensis	Hulecoeteomyia	Somboon & Harbach	2020
Aedes	bicristatus	Rusticoidus	Thurman & Winkler	1950
Aedes	bimaculatus	Ochlerotatus	Coquillett	1902
Aedes	biocellatus	subgenus uncertain	Taylor	1914
Aedes	biskraensis	Ochlerotatus	Brunhes	1999
Aedes	biunguiculatus	Nyctomyia	Harbach	2014
Aedes	blacklocki	Stegomyia	Evans	1925
Aedes	bogotanus	Ochlerotatus	Arnell	1976
Aedes	boharti	Scutomyia	Knight & Rozeboom	1946
Aedes	bolensis	Neomelaniconion	Edwards	1936
Aedes	boneti	Bifidistylus	Gil , Collado	1936
Aedes	bonneae	Paraedes	Mattingly	1958
Aedes	bougainvillensis	Finlaya	Marks	1947
Aedes	braziliensis	Protomacleaya	Gordon & Evans	1922
Aedes	breedensis	Ochlerotatus	Muspratt	1953
Aedes	brelandi	Protomacleaya	Zavortink	1972
Aedes	brevis	Howardina	Berlin	1969
Aedes	brevitibia	Alanstonea	Edwards	1914)
Aedes	brevivittatus	Howardina	Berlin	1969
Aedes	britteni	subgenus uncertain	Marks & Hodgkin	1958
Aedes	bromeliae	Stegomyia	Theobald	1911
Aedes	brownscutumus	Bothaella	Dong , Zhou & Dong	1999
Aedes	brunhesi	Zavortinkius	Reinert	1999
Aedes	brygooi	Zavortinkius	Brunhes	1971
Aedes	buenaventura	Protomacleaya	Schick	1970
Aedes	burgeri	Protomacleaya	Zavortink	1972
Aedes	burjaticus	Ochlerotatus	Kuchartshuk	1973
Aedes	burnetti	Finlaya	Belkin	1962
Aedes	burnsi	Stegomyia	Basio & Reisen	1971
Aedes	burpengaryensis	Ochlerotatus	Theobald	1905
Aedes	busckii	Howardina	Coquillett	1906
Aedes	buxtoni	Patmarksia	Belkin	1962
Aedes	caballus	Ochlerotatus	Theobald	1912
Aedes	cacharanus	Phagomyia	Barraud	1923
Aedes	cacozelus	Ochlerotatus	Marks	1963
Aedes	caecus	Aedimorphus	Theobald	1901
Aedes	calabyi	Macleaya	Marks	1963
Aedes	calcariae	Ochlerotatus	Marks	1957
Aedes	calceatus	Stegomyia	Edwards	1924
Aedes	caliginosus	Aedimorphus	Graham	1910
Aedes	calumnior	Ochlerotatus	Belkin , Heinemann & Page	1970
Aedes	campana	Protomacleaya	Schick	1970
Aedes	campestris	Ochlerotatus	Dyar & Knab	1907
Aedes	camptorhynchus	Ochlerotatus	Thomson	1869
Aedes	canadensis	Ochlerotatus	Theobald	1901
Aedes	cancricomes	Cancraedes	Edwards	1922
Aedes	candidoscutellum	subgenus uncertain	Marks	1947
Aedes	cantans	Ochlerotatus	Meigen	1818
Aedes	cantator	Ochlerotatus	Coquillett	1903
Aedes	capensis	Albuginosus	Edwards	1924
Aedes	carteri	Neomelaniconion	Edwards	1936
Aedes	cartroni	Skusea	Ventrillon	1906
Aedes	casali	Protomacleaya	Schick	1970
Aedes	caspius	Ochlerotatus	Pallas	1771
Aedes	cataphylla	Ochlerotatus	Dyar	1916
Aedes	cavaticus	Isoaedes	Reinert	1979
Aedes	cavernicola	Borichinda	Rattanarithikul & Harbach	2007
Aedes	celebicus	Lorrainea	Mattingly	1959
Aedes	centropunctatus	Aedimorphus	Theobald	1913
Aedes	chamboni	Catageiomyia	Cornet	1968
Aedes	chaussieri	Stegomyia	Edwards	1923
Aedes	chelli	Ochlerotatus	Edwards	1915
Aedes	chemulpoensis	Stegomyia	Yamada	1921
Aedes	cherrapunjiensis	Hulecoeteomyia	Natarajan , Rajavel & Jambulingam	2016
Aedes	chionodes	Christophersiomyia	Belkin	1962
Aedes	chionotum	Protomacleaya	Zavortink	1972
Aedes	christophersi	Bruceharrisonius	Edwards	1922
Aedes	chrysolineatus	Hulecoeteomyia	Theobald	1907
Aedes	chrysoscuta	Paraedes	Theobald	1910
Aedes	chungi	Jihlienius	Lien	1968
Aedes	churchillensis	Ochlerotatus	Ellis & Brust	1973
Aedes	cinereus	Aedes	Meigen	1818
Aedes	circumluteolus	Neomelaniconion	Theobald	1908
Aedes	clelandi	Ochlerotatus	Taylor	1914
Aedes	clintoni	Patmarksia	Taylor	1946
Aedes	clivis	Ochlerotatus	Lanzaro & Eldridge	1992
Aedes	cogilli	Phagomyia	Edwards	1922
Aedes	collessi	Paraedes	Mattingly	1958
Aedes	coluzzii	Ochlerotatus	Rioux , Guilvard & Pasteur	1998
Aedes	comitatus	Ochlerotatus	Arnell	1976
Aedes	communis	Ochlerotatus	de Geer	1776
